LEVEL-TOTALXP
1-901
2-2,150	
3-3,700	
4-5,550	
5-7,750	
6-10,350	
7-13,350	
8-16,850	
9-20,850	
10-25,450
11-30,051	
12-34,662	
13-39,299	
14-43,986
15-48,757	
16-53,652	
17-58,720	
18-64,019	
19-69,614	
20-75,579	
21-81,996	
22-88,955	
23-96,555	
24-104,902	
25-114,110	
26-124,303	
27-135,611	
28-148,174	
29-162,139	
30-177,662	
31-194,907	
32-214,046	
33-235,259	
34-258,735	
35-284,670	
36-313,269	
37-344,745	
38-379,319	
39-417,221	
40-458,688	
41-503,966
42-553,308	
43-606,978	
44-665,245	
45-728,388	
46-796,694	
47-870,457	
48-949,981	
49-1,035,577	
50-1,127,565	
51-1,226,272	
52-1,332,034	
53-1,445,195	
54-1,566,108	
55-1,695,133	
56-1,832,639	
57-1,979,002	
58-2,134,608	
59-2,299,850	
60-2,475,129	
61-2,660,855	
62-2,857,446	
63-3,065,327	
64-3,284,933	
65-3,516,707	
66-3,761,099	
67-4,018,567	
68-4,289,579	
69-4,574,610	
70-4,874,143	
71-5,188,670	
72-5,518,691	
73-5,864,713	
74-6,227,253	
75-6,606,835	
76-7,003,991	
77-7,419,262	
78-7,853,198	
79-8,306,355	
80-8,779,298	
81-9,272,601	
82-9,786,846	
83-10,322,622	
84-10,880,528	
85-11,461,170
86-12,065,162	
87-12,693,127	
88-13,345,696	
89-14,023,507	
90-14,727,208	
91-15,457,455	
92-16,214,911	
93-17,000,247	
94-17,814,144	
95-18,657,290	
96-19,530,381	
97-20,434,122	
98-21,369,226	
99-22,336,413	
100-23,336,413	
